file_name|input_red_entropy|input_green_entropy|input_blue_entropy|input_avg_entropy|encrypted_red_entropy|encrypted_green_entropy|encrypted_blue_entropy|encrypted_avg_entropy|decrypted_red_entropy|decrypted_green_entropy|decrypted_blue_entropy|decrypted_avg_entropy|
lena_color_256.tif|7.235281553151387|7.568285257617799|6.9175668839901014|7.240377898253096|7.999325380689341|7.999434606732646|7.999315687332206|7.999358558251398|7.235281553151387|7.568285257617799|6.9175668839901014|7.240377898253096|
fruits.png|7.0555732539578955|7.35268666102017|7.713418565054289|7.3738928266774515|7.999829604522739|7.999840154048273|7.999861239616099|7.999843666062371|7.0555732539578955|7.35268666102017|7.713418565054289|7.3738928266774515|
boat.png|7.191370218069243|7.191370218069243|7.191370218069243|7.191370218069243|7.9998487818919575|7.999848700452184|7.999841256235096|7.99984624619308|7.191370218069243|7.191370218069243|7.191370218069243|7.191370218069243|
woman_blonde.tif|6.954216005294772|6.954216005294772|6.954216005294772|6.954216005294772|7.9998076370772955|7.999825358442835|7.999841528991279|7.999824841503803|6.954216005294772|6.954216005294772|6.954216005294772|6.954216005294772|
lena_gray_256.tif|7.442867237546472|7.442867237546472|7.442867237546472|7.442867237546472|7.999301009319616|7.9993201431030805|7.999438226887976|7.9993531264368904|7.442867237546472|7.442867237546472|7.442867237546472|7.442867237546472|
cameraman.tif|7.047955232423086|7.047955232423086|7.047955232423086|7.047955232423086|7.999856030493138|7.999840939718376|7.999842376340136|7.99984644885055|7.047955232423086|7.047955232423086|7.047955232423086|7.047955232423086|
pirate.tif|7.236707812803107|7.236707812803107|7.236707812803107|7.236707812803107|7.999821143452176|7.999845806740877|7.999833050044172|7.9998333334124085|7.236707812803107|7.236707812803107|7.236707812803107|7.236707812803107|
woman_darkhair.tif|7.276705215926083|7.276705215926083|7.276705215926083|7.276705215926083|7.999851169313787|7.999821213878336|7.999831375984475|7.9998345863922|7.276705215926083|7.276705215926083|7.276705215926083|7.276705215926083|
lena.bmp|4.46417019954345|4.46417019954345|4.46417019954345|4.46417019954345|7.999836629348732|7.9998007495242245|7.99982772566818|7.999821701513713|4.46417019954345|4.46417019954345|4.46417019954345|4.46417019954345|
livingroom.tif|7.2951741180913565|7.2951741180913565|7.2951741180913565|7.2951741180913565|7.999852463304553|7.999818040795853|7.99983790195339|7.9998361353512655|7.2951741180913565|7.2951741180913565|7.2951741180913565|7.2951741180913565|
lena_gray_512.tif|7.445061352834157|7.445061352834157|7.445061352834157|7.445061352834157|7.999842215150032|7.999826548166655|7.999852270822418|7.999840344713036|7.445061352834157|7.445061352834157|7.445061352834157|7.4450613528341565|
mandril_color.tif|6.929378113614441|6.317524178992068|7.289502381386229|6.845468224664246|7.999863921367907|7.999796318539167|7.999816947393944|7.99982572910034|6.929378113614441|6.317524178992068|7.289502381386229|6.845468224664246|
tulips.png|7.149425244538389|7.663672833918344|7.586948471085235|7.466682183180656|7.999897215292044|7.999900733786613|7.999899609210962|7.999899186096539|7.149425244538389|7.663672833918344|7.586948471085235|7.466682183180656|
peppers.png|7.3388269610463714|7.49625334499586|7.058305579393298|7.297795295145176|7.99985137537121|7.999809657875295|7.999839575035043|7.999833536093849|7.3388269610463714|7.49625334499586|7.058305579393298|7.297795295145176|
lena_color_512.tif|7.253102357429206|7.594037916342683|6.9684269460085915|7.271855739926827|7.999814491558175|7.999842182128141|7.999848453958129|7.999835042548149|7.253102357429206|7.594037916342683|6.9684269460085915|7.271855739926827|
mandril_gray.tif|7.2925487746813635|7.2925487746813635|7.2925487746813635|7.2925487746813635|7.999859112309731|7.999851831388012|7.999830127474439|7.999847023724061|7.2925487746813635|7.2925487746813635|7.2925487746813635|7.2925487746813635|
baboon.png|7.706671842616529|7.47443158636626|7.7522171719446495|7.644440200309146|7.999832162800535|7.9998362541567305|7.99982394184027|7.9998307862658455|7.706671842616529|7.47443158636626|7.7522171719446495|7.644440200309146|
barbara.bmp|4.485752135814634|4.485752135814634|4.485752135814634|4.485752135814634|7.999843588695552|7.999856323551755|7.999848059212282|7.999849323819863|4.485752135814634|4.485752135814634|4.485752135814634|4.485752135814634|
