file_name|npcr
lena_color_256.tif|99.62874483471074
fruits.png|99.82030951685721
boat.png|99.81995013589092
woman_blonde.tif|99.82084858830665
lena_gray_256.tif|99.63233184113865
cameraman.tif|99.81986029064936
pirate.tif|99.8206688978235
woman_darkhair.tif|99.82039936209878
lena.bmp|99.8200399811325
livingroom.tif|99.82048920734036
lena_gray_512.tif|99.82012982637407
mandril_color.tif|99.82183688596393
tulips.png|99.88222390045672
peppers.png|99.82039936209878
lena_color_512.tif|99.82111812403136
mandril_gray.tif|99.82075874306507
baboon.png|99.82048920734036
barbara.bmp|99.82039936209878
